node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Framing & Tack Weld #2,2,1,17192.100,17195.100,3.000,down,1231,
Framing & Tack Weld #2,2,1,17195.100,17199.100,4.000,process,1232,
Framing & Tack Weld #2,2,1,17199.100,17207.100,8.000,wait,1232,
Framing & Tack Weld #2,2,1,17207.100,17209.100,2.000,down,1232,
Framing & Tack Weld #2,2,1,17209.100,17214.100,5.000,process,1233,
Framing & Tack Weld #2,2,1,17214.100,17220.100,6.000,wait,1233,
Framing & Tack Weld #2,2,1,17220.100,17223.100,3.000,down,1233,
Framing & Tack Weld #2,2,1,17223.100,17227.100,4.000,process,1234,
Framing & Tack Weld #2,2,1,17227.100,17235.100,8.000,wait,1234,
Framing & Tack Weld #2,2,1,17235.100,17237.100,2.000,down,1234,
Framing & Tack Weld #2,2,1,17237.100,17242.100,5.000,process,1235,
Framing & Tack Weld #2,2,1,17242.100,17248.100,6.000,wait,1235,
Framing & Tack Weld #2,2,1,17248.100,17251.100,3.000,down,1235,
Framing & Tack Weld #2,2,1,17251.100,17255.100,4.000,process,1236,
Framing & Tack Weld #2,2,1,17255.100,17263.100,8.000,wait,1236,
Framing & Tack Weld #2,2,1,17263.100,17265.100,2.000,down,1236,
Framing & Tack Weld #2,2,1,17265.100,17270.100,5.000,process,1237,
Framing & Tack Weld #2,2,1,17270.100,17276.100,6.000,wait,1237,
Framing & Tack Weld #2,2,1,17276.100,17279.100,3.000,down,1237,
Framing & Tack Weld #2,2,1,17279.100,17283.100,4.000,process,1238,
Framing & Tack Weld #2,2,1,17283.100,17291.100,8.000,wait,1238,
Framing & Tack Weld #2,2,1,17291.100,17293.100,2.000,down,1238,
Framing & Tack Weld #2,2,1,17293.100,17298.100,5.000,process,1239,
Framing & Tack Weld #2,2,1,17298.100,17304.100,6.000,wait,1239,
Framing & Tack Weld #2,2,1,17304.100,17307.100,3.000,down,1239,
Framing & Tack Weld #2,2,1,17307.100,17311.100,4.000,process,1240,
Framing & Tack Weld #2,2,1,17311.100,17319.100,8.000,wait,1240,
Framing & Tack Weld #2,2,1,17319.100,17321.100,2.000,down,1240,
Framing & Tack Weld #2,2,1,17321.100,17326.100,5.000,process,1241,
Framing & Tack Weld #2,2,1,17326.100,17332.100,6.000,wait,1241,
Framing & Tack Weld #2,2,1,17332.100,17335.100,3.000,down,1241,
Framing & Tack Weld #2,2,1,17335.100,17339.100,4.000,process,1242,
Framing & Tack Weld #2,2,1,17339.100,17347.100,8.000,wait,1242,
Framing & Tack Weld #2,2,1,17347.100,17349.100,2.000,down,1242,
Framing & Tack Weld #2,2,1,17349.100,17354.100,5.000,process,1243,
Framing & Tack Weld #2,2,1,17354.100,17360.100,6.000,wait,1243,
Framing & Tack Weld #2,2,1,17360.100,17363.100,3.000,down,1243,
Framing & Tack Weld #2,2,1,17363.100,17367.100,4.000,process,1244,
Framing & Tack Weld #2,2,1,17367.100,17375.100,8.000,wait,1244,
Framing & Tack Weld #2,2,1,17375.100,17377.100,2.000,down,1244,
Framing & Tack Weld #2,2,1,17377.100,17382.100,5.000,process,1245,
Framing & Tack Weld #2,2,1,17382.100,17388.100,6.000,wait,1245,
Framing & Tack Weld #2,2,1,17388.100,17391.100,3.000,down,1245,
Framing & Tack Weld #2,2,1,17391.100,17395.100,4.000,process,1246,
Framing & Tack Weld #2,2,1,17395.100,17403.100,8.000,wait,1246,
Framing & Tack Weld #2,2,1,17403.100,17405.100,2.000,down,1246,
Framing & Tack Weld #2,2,1,17405.100,17410.100,5.000,process,1247,
Framing & Tack Weld #2,2,1,17410.100,17416.100,6.000,wait,1247,
Framing & Tack Weld #2,2,1,17416.100,17419.100,3.000,down,1247,
Framing & Tack Weld #2,2,1,17419.100,17423.100,4.000,process,1248,
Framing & Tack Weld #2,2,1,17423.100,17431.100,8.000,wait,1248,
Framing & Tack Weld #2,2,1,17431.100,17433.100,2.000,down,1248,
Framing & Tack Weld #2,2,1,17433.100,17438.100,5.000,process,1249,
Framing & Tack Weld #2,2,1,17438.100,17444.100,6.000,wait,1249,
Framing & Tack Weld #2,2,1,17444.100,17447.100,3.000,down,1249,
Framing & Tack Weld #2,2,1,17447.100,17448.900,1.800,process,1250,
Underbody Main Weld #3,3,2,16848.900,16854.100,5.200,wait,1206,
Underbody Main Weld #3,3,2,16854.100,16856.100,2.000,down,1206,
Underbody Main Weld #3,3,2,16856.100,16861.100,5.000,process,1207,
Underbody Main Weld #3,3,2,16861.100,16868.100,7.000,wait,1207,
Underbody Main Weld #3,3,2,16868.100,16871.100,3.000,down,1207,
Underbody Main Weld #3,3,2,16871.100,16875.100,4.000,process,1208,
Underbody Main Weld #3,3,2,16875.100,16882.100,7.000,wait,1208,
Underbody Main Weld #3,3,2,16882.100,16884.100,2.000,down,1208,
Underbody Main Weld #3,3,2,16884.100,16889.100,5.000,process,1209,
Underbody Main Weld #3,3,2,16889.100,16896.100,7.000,wait,1209,
Underbody Main Weld #3,3,2,16896.100,16899.100,3.000,down,1209,
Underbody Main Weld #3,3,2,16899.100,16903.100,4.000,process,1210,
Underbody Main Weld #3,3,2,16903.100,16910.100,7.000,wait,1210,
Underbody Main Weld #3,3,2,16910.100,16912.100,2.000,down,1210,
Underbody Main Weld #3,3,2,16912.100,16917.100,5.000,process,1211,
Underbody Main Weld #3,3,2,16917.100,16924.100,7.000,wait,1211,
Underbody Main Weld #3,3,2,16924.100,16927.100,3.000,down,1211,
Underbody Main Weld #3,3,2,16927.100,16931.100,4.000,process,1212,
Underbody Main Weld #3,3,2,16931.100,16938.100,7.000,wait,1212,
Underbody Main Weld #3,3,2,16938.100,16940.100,2.000,down,1212,
Underbody Main Weld #3,3,2,16940.100,16945.100,5.000,process,1213,
Underbody Main Weld #3,3,2,16945.100,16952.100,7.000,wait,1213,
Underbody Main Weld #3,3,2,16952.100,16955.100,3.000,down,1213,
Underbody Main Weld #3,3,2,16955.100,16959.100,4.000,process,1214,
Underbody Main Weld #3,3,2,16959.100,16966.100,7.000,wait,1214,
Underbody Main Weld #3,3,2,16966.100,16968.100,2.000,down,1214,
Underbody Main Weld #3,3,2,16968.100,16973.100,5.000,process,1215,
Underbody Main Weld #3,3,2,16973.100,16980.100,7.000,wait,1215,
Underbody Main Weld #3,3,2,16980.100,16983.100,3.000,down,1215,
Underbody Main Weld #3,3,2,16983.100,16987.100,4.000,process,1216,
Underbody Main Weld #3,3,2,16987.100,16994.100,7.000,wait,1216,
